stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000416,2018-04-20,非银金融,,
000416,2021-07-30,非银金融,多元金融,金融控股
000417,1996-08-12,商贸零售,,
000417,2014-01-01,商贸零售,一般零售,多业态零售
000417,2017-06-29,商贸零售,一般零售,百货
000418,1997-03-28,家用电器,,
000419,1996-08-16,商贸零售,,
000419,2014-01-01,商贸零售,一般零售,多业态零售
000420,1996-08-02,基础化工,化学纤维,粘胶
000421,1996-08-06,交通运输,,
000421,2014-01-01,综合,综合Ⅱ,综合Ⅲ
000421,2017-12-11,公用事业,燃气Ⅱ,燃气Ⅲ
000421,2023-07-06,综合,,
000422,1996-07-25,基础化工,,
000422,2017-06-29,基础化工,化学原料,氯碱
000422,2022-07-29,基础化工,农化制品,氮肥
000423,1996-07-29,医药生物,中药Ⅱ,中药Ⅲ
000425,1996-08-28,,,
000425,2014-01-01,机械设备,,
000425,2021-07-30,机械设备,工程机械,工程机械整机
000426,1996-08-28,公用事业,电力,热力服务
000426,2012-07-02,有色金属,,
000426,2014-01-01,有色金属,工业金属,铅锌
000428,1996-08-08,社会服务,,
000428,2021-07-30,社会服务,酒店餐饮,酒店
000429,1998-02-20,交通运输,,
000429,2021-07-30,交通运输,铁路公路,高速公路
000430,1996-08-29,社会服务,,
000430,2021-07-30,社会服务,旅游及景区,自然景区
000488,2000-11-20,轻工制造,,
000488,2021-07-30,轻工制造,造纸,大宗用纸
000498,1997-06-09,基础化工,化学纤维,粘胶
000498,2013-07-01,,,
000498,2014-01-01,建筑装饰,,
000498,2021-07-30,建筑装饰,基础建设,基建市政工程
000501,1992-11-20,商贸零售,,
000501,2014-01-01,商贸零售,一般零售,多业态零售
000501,2017-06-29,商贸零售,一般零售,百货
000502,1991-06-05,社会服务,,
000502,2003-05-01,房地产,房地产开发,住宅开发
000502,2021-07-30,房地产,房地产服务,物业管理
000503,1992-11-30,,,
000503,2014-01-01,传媒,,
000503,2017-05-26,医药生物,,
000503,2021-07-30,计算机,软件开发,垂直应用软件
000504,1992-12-08,,,
000504,2014-01-01,传媒,,
000504,2019-07-24,医药生物,,
000504,2021-07-30,医药生物,医疗服务,其他医疗服务
000505,1992-12-21,房地产,房地产开发,住宅开发
000505,2018-07-13,农林牧渔,农产品加工,粮油加工
000506,1993-03-12,有色金属,金属新材料,其他金属新材料
000506,2008-06-02,有色金属,金属新材料,磁性材料
000506,2009-01-01,房地产,房地产开发,住宅开发
000506,2015-07-01,有色金属,贵金属,黄金
000506,2018-06-19,房地产,房地产开发,住宅开发
000506,2022-07-29,有色金属,贵金属,黄金
000507,1993-03-26,综合,综合Ⅱ,综合Ⅲ
000507,2011-01-10,交通运输,,
000507,2021-07-30,交通运输,航运港口,港口
000507,2023-07-06,公用事业,,
000508,1993-01-30,农林牧渔,,
000509,1993-05-07,综合,综合Ⅱ,综合Ⅲ
000509,2011-10-10,,,
000509,2014-01-01,建筑材料,装修建材,其他建材
000509,2019-07-24,医药生物,,
000509,2021-07-30,医药生物,医疗服务,医院
000509,2022-07-29,电子,光学光电子,面板
000510,1993-05-07,基础化工,化学原料,氯碱
000511,1993-05-18,房地产,房地产开发,住宅开发
000511,2014-01-01,有色金属,,
000513,1993-10-28,医药生物,,
000513,2008-01-02,医药生物,化学制药,化学制剂
000514,1993-07-12,房地产,房地产开发,住宅开发
000515,1993-07-12,基础化工,化学原料,无机盐
000516,1993-08-09,商贸零售,,
000516,2014-01-01,商贸零售,一般零售,百货
000516,2019-05-13,医药生物,,
000516,2021-07-30,医药生物,医疗服务,医院
000517,1989-03-01,,,
000517,2000-05-01,,,
000517,2007-07-02,房地产,房地产开发,住宅开发
000517,2008-06-02,,,
000517,2010-01-01,房地产,房地产开发,住宅开发
000518,1993-09-08,纺织服饰,,
000518,2011-01-10,医药生物,,
000518,2021-07-30,医药生物,生物制品,其他生物制品
000519,1993-10-08,,,
000519,2014-01-01,机械设备,,
